year,from,to,count
2018,Command-line_interface,Graphical_user_interface,2002
2018,American_English,Syllable,201
2018,Character_(computing),Morse_code,321
2018,Lozenge,Inverted_question_and_exclamation_marks,45
2018,Comma,Smooth_breathing,216
2018,Exclamation_mark,Interjection,2282
2018,Underscore,Space_(punctuation),423
2018,Inverted_question_and_exclamation_marks,Spanish_orthography,1524
2018,Computer_keyboard,QWERTY,1498
2018,Pile_of_Poo_emoji,Unicode,212
2018,Obelus,Division_(mathematics),965
2018,The_Bluest_Eye,Word_divider,1114
2018,Hyphen,Sam_Taylor-Johnson,185
2018,Bracket,Backslash,157
2018,Colon_(punctuation),Genitive_case,188
2018,Unicode,Number_Forms,781
2018,Programming_language,Disk_storage,271
2018,Conjugate_transpose,Dagger_(typography),1827
2018,Typography,Electrical_system_design,84
2018,Unicode,Lepcha_alphabet,413
2018,Typography,Iterative_design,81
2018,Unicode,Extended_ASCII,164
2018,Command-line_interface,Batch_file,432
2018,Currency_symbol,Malaysian_ringgit,138
2018,Copyleft,Share-alike,1132
2018,Unicode,Phonetic_symbols_in_Unicode,207
